Air,Time1,Water,Time2
-0.1251,3.7,-0.1,2.6
-0.1249,3.75,-0.0997,2.65
-0.1247,3.8,-0.0955,2.7
-0.1247,3.85,-0.0854,2.75
-0.1243,3.9,-0.07,2.8
-0.123,3.95,-0.0509,2.85
-0.1182,4,-0.0301,2.9
-0.1057,4.05,-0.0097,2.95
-0.0837,4.1,0.0084,3
-0.0542,4.15,0.0232,3.05
-0.02,4.2,0.0339,3.1
0.0158,4.25,0.0404,3.15
0.0498,4.3,0.0428,3.2
0.0784,4.35,0.0413,3.25
0.0992,4.4,0.0366,3.3
0.1101,4.45,0.0293,3.35
0.1102,4.5,0.02,3.4
0.0998,4.55,0.0095,3.45
0.0797,4.6,-0.0014,3.5
0.0518,4.65,-0.0115,3.55
0.0189,4.7,-0.0201,3.6
-0.0157,4.75,-0.0265,3.65
-0.0486,4.8,-0.0303,3.7
-0.0767,4.85,-0.0312,3.75
-0.0976,4.9,-0.0294,3.8
-0.1091,4.95,-0.0254,3.85
-0.1099,5,-0.0197,3.9
-0.1003,5.05,-0.0127,3.95
-0.0814,5.1,-0.0051,4
-0.0551,5.15,0.0024,4.05
-0.0241,5.2,0.0092,4.1
0.009,5.25,0.0149,4.15
0.0412,5.3,0.0189,4.2
0.069,5.35,0.021,4.25
0.0898,5.4,0.0211,4.3
0.1016,5.45,0.0195,4.35
0.1034,5.5,0.0164,4.4
0.0952,5.55,0.0122,4.45
0.0777,5.6,0.0072,4.5
0.0526,5.65,0.002,4.55
0.0224,5.7,-0.0029,4.6
-0.0097,5.75,-0.0072,4.65
-0.0406,5.8,-0.0106,4.7
-0.0676,5.85,-0.0128,4.75
-0.0882,5.9,-0.0137,4.8
-0.1003,5.95,-0.0133,4.85
-0.1027,6,-0.0117,4.9
-0.0955,6.05,-0.0094,4.95
-0.0794,6.1,-0.0065,5
-0.0561,6.15,-0.0033,5.05
-0.0279,6.2,-0.000263,5.1
0.0027,6.25,0.0025,5.15
0.033,6.3,0.0048,5.2
0.0598,6.35,0.0063,5.25
0.0804,6.4,0.0071,5.3
0.093,6.45,0.0072,5.35
0.0964,6.5,0.0066,5.4
0.0904,6.55,0.0056,5.45
0.0755,6.6,0.0042,5.5
0.0533,6.65,0.0029,5.55
0.0259,6.7,0.0015,5.6
-0.0038,6.75,0.00015,5.65
-0.0328,6.8,-0.001,5.7
-0.0585,6.85,-0.0019,5.75
-0.0787,6.9,-0.0025,5.8
-0.0915,6.95,-0.0027,5.85
-0.0954,7,-0.0026,5.9
-0.0903,7.05,-0.0022,5.95
-0.0768,7.1,-0.0017,6
-0.0564,7.15,-0.0012,6.05
-0.031,7.2,-0.000675,6.1
-0.003,7.25,-0.000225,6.15
0.0253,7.3,3.75E-05,6.2
0.051,7.35,7.50E-05,6.25
0.0715,7.4,-3.75E-05,6.3
0.0847,7.45,-0.000188,6.35
0.0895,7.5,-0.000375,6.4
0.0855,7.55,-0.000488,6.45
0.0732,7.6,-0.0006,6.5
0.0537,7.65,-0.000638,6.55
